INSTITUTION,EACITY,EASTATE,EASTATECODE,EASTARTYEAR,EASTARTMONTH,EASTARTQUARTER,EASTARTYQ,EATERMINATIONYEAR,EATERMINATIONMONTH,EATERMINATIONQUARTER,EATERMINATIONYQ,EATYPE,CHARTERNUMBER,COMPANYNAME,INDIVIDUAL,LOCATION,AMOUNT,STARTDATE,STARTDOCUMENT,TERMINATIONDATE,TERMINATIONDOCUMENT,DOCKETNUMBER
"1st Century Bank, National Association",Los Angeles,California,CA,2013,9,3,20133,2015,2,1,20151,Cease & Desist Orders,24442,,,"Los Angeles, CA",0,9/11/2013 12:00:00 AM -04:00,2013-144,2/23/2015 12:00:00 AM -05:00,2015-020,AA-WE-13-58
1st National Bank,Lebanon,Ohio,OH,2009,8,3,20093,,,,,Bank Civil Money Penalties,8709,,,"Lebanon, OH",1000,8/18/2009 12:00:00 AM -04:00,2009-195,,,AA-EC-09-51
1st National Bank of South Florida,Homestead,Florida,FL,2010,6,2,20102,2013,11,4,20134,Cease & Desist Orders,13641,,,"Homestead, FL",0,6/29/2010 12:00:00 AM -04:00,2010-151,11/8/2013 12:00:00 AM -05:00,2013-213,
1st National Bank of Texas,Webster,Texas,TX,1990,12,4,19904,1992,7,3,19923,Cease & Desist Orders,20482,,,"Webster, TX",0,12/24/1990 12:00:00 AM -05:00,147,7/23/1992 12:00:00 AM -04:00,,
A J Smith Federal Savings Bank,Midlothian,Illinois,IL,2012,3,1,20121,2013,9,3,20133,Formal Agreements,700358,,,"Midlothian, IL",0,3/8/2012 12:00:00 AM -05:00,2012-166,9/19/2013 12:00:00 AM -04:00,2013-151,
AB & T National Bank,Dothan,Alabama,AL,2006,7,3,20063,2009,3,1,20091,Formal Agreements,24515,,,"Dothan, AL",0,7/27/2006 12:00:00 AM -04:00,2006-87,3/31/2009 12:00:00 AM -04:00,,
Abacus Federal Savings Bank,New York,New York,NY,2014,4,2,20142,2017,2,1,20171,Formal Agreements,708059,,,"New York, NY",0,4/28/2014 12:00:00 AM -04:00,2014-077,2/16/2017 12:00:00 AM -05:00,2017-024,
Abacus Federal Savings Bank,New York,New York,NY,2011,2,1,20111,2014,4,2,20142,Cease & Desist Orders,708059,,,"New York, NY",0,2/16/2011 12:00:00 AM -05:00,NE 11-08,4/28/2014 12:00:00 AM -04:00,2014-081,AA-NE-2014-54
Acacia Federal Savings Bank,Falls Church,Virginia,VA,2012,12,4,20124,2013,10,4,20134,Formal Agreements,708070,,,"Falls Church, VA",0,12/19/2012 12:00:00 AM -05:00,2012-274,10/31/2013 12:00:00 AM -04:00,,AA-NEDO-2013-2
"Academy Bank, National Association",Colorado Springs,Colorado,CO,2010,5,2,20102,2015,1,1,20151,Cease & Desist Orders,15592,,,"Colorado Springs, CO",0,5/11/2010 12:00:00 AM -04:00,2010-095,1/22/2015 12:00:00 AM -05:00,2015-011,AA-EC-10-45
